"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","2000","2000","AUD","Australian Dollar","0","Units",,,46246.8687311857,,
"AUS","Australia","CPNCU","Current prices in NCU","2001","2001","AUD","Australian Dollar","0","Units",,,48315.9823911002,,
"AUS","Australia","CPNCU","Current prices in NCU","2002","2002","AUD","Australian Dollar","0","Units",,,50052.7581021241,,
"AUS","Australia","CPNCU","Current prices in NCU","2003","2003","AUD","Australian Dollar","0","Units",,,51798.5866440082,,
"AUS","Australia","CPNCU","Current prices in NCU","2004","2004","AUD","Australian Dollar","0","Units",,,54199.4027107654,,
"AUS","Australia","CPNCU","Current prices in NCU","2005","2005","AUD","Australian Dollar","0","Units",,,56019,,
"AUS","Australia","CPNCU","Current prices in NCU","2006","2006","AUD","Australian Dollar","0","Units",,,58403,,
"AUS","Australia","CPNCU","Current prices in NCU","2007","2007","AUD","Australian Dollar","0","Units",,,61884,,
"AUS","Australia","CPNCU","Current prices in NCU","2008","2008","AUD","Australian Dollar","0","Units",,,64344,,
"AUS","Australia","CPNCU","Current prices in NCU","2009","2009","AUD","Australian Dollar","0","Units",,,65362,,
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","Units",,,69110,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","Units",,,72979,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","Units",,,75149,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","Units",,,76598,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","Units",,,78667,,
"AUS","Australia","CPNCU","Current prices in NCU","2015","2015","AUD","Australian Dollar","0","Units",,,79207,,
"AUS","Australia","CPNCU","Current prices in NCU","2016","2016","AUD","Australian Dollar","0","Units",,,80058,,
"AUS","Australia","CPNCU","Current prices in NCU","2017","2017","AUD","Australian Dollar","0","Units",,,80683,,
"AUS","Australia","CPNCU","Current prices in NCU","2018","2018","AUD","Australian Dollar","0","Units",,,82277,,
"AUS","Australia","CPNCU","Current prices in NCU","2019","2019","AUD","Australian Dollar","0","Units",,,84752,,
"AUS","Australia","CPNCU","Current prices in NCU","2020","2020","AUD","Australian Dollar","0","Units",,,88031,,
"AUS","Australia","CPNCU","Current prices in NCU","2021","2021","AUD","Australian Dollar","0","Units",,,89954.8099759706,,
"AUS","Australia","CPNCU","Current prices in NCU","2022","2022","AUD","Australian Dollar","0","Units",,,92690.203390536,,
